client_account_id,client_account_name,is_cemo_base,cemo_base_segment,client_workstream,is_claims_present,n_outreach_members,n_addressable_paid,n_addressable_recommended,n_eligible_distinct_members,n_avg_members_eligible,n_eop_members_eligible,pct_outreach_on_distinct_ever,pct_outreach_on_avg_monthly_br,pct_outreach_on_eop_dec,pct_addressable_paid_on_distinct_ever,pct_addressable_paid_on_avg_monthly_br,pct_addressable_paid_on_eop_dec,pct_addressable_recommended_on_distinct_ever,pct_addressable_recommended_on_avg_monthly_br,pct_addressable_recommended_on_eop_dec,book_benchmark_pct_portfolio,book_benchmark_pct_median_client
SALESCLOUD_ACCOUNT_ID:0015d00004KtnueAAB,Cohesity,True,CEMO_BASE,WITH_CLAIMS,True,1451,1438,1438.0,8385,6903.0,7788.0,0.173,0.2102,0.1863,0.1715,0.2083,0.1846,0.1715,0.2083,0.1846,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001WZiflAAD,Colgate-Palmolive Company,True,CEMO_BASE,WITH_CLAIMS,True,4970,4941,4941.0,17155,15565.0,15322.0,0.2897,0.3193,0.3244,0.288,0.3174,0.3225,0.288,0.3174,0.3225,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001kNlBmAAK,Crown Castle,False,NAV_PLUS_CEMO,WITH_CLAIMS,True,2985,2939,2939.0,10640,9807.0,9693.0,0.2805,0.3044,0.308,0.2762,0.2997,0.3032,0.2762,0.2997,0.3032,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0015d00003OjlzxAAB,Cummins Inc.,True,CEMO_BASE,WITH_CLAIMS,True,19,18,18.0,66689,0.0,0.0,0.0003,,,0.0003,,,0.0003,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0015d00003MO7r4AAD,Electrical Workers Insurance Fund-IBEW 58,True,CEMO_BASE,WITH_CLAIMS,True,1,0,0.0,13414,12701.0,12833.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000vp8MlAAI,Google,False,NAV_PLUS_CEMO,WITH_CLAIMS,True,76500,76014,76014.0,268693,242828.0,242882.0,0.2847,0.315,0.315,0.2829,0.313,0.313,0.2829,0.313,0.313,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001lYW6bAAG,HealthTrust NH,True,CEMO_BASE,WITH_CLAIMS,True,6226,6226,6226.0,50526,44319.0,42901.0,0.1232,0.1405,0.1451,0.1232,0.1405,0.1451,0.1232,0.1405,0.1451,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0011W00002TPtr7QAD,IMEG Consulting Corp,True,CEMO_BASE,WITH_CLAIMS,True,914,907,907.0,4625,3953.0,4015.0,0.1976,0.2312,0.2276,0.1961,0.2294,0.2259,0.1961,0.2294,0.2259,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:00140000012hRLJAA2,JP Morgan Chase,False,NAV_PLUS_CEMO,WITH_CLAIMS,True,11682,11578,11578.0,365684,329205.0,325805.0,0.0319,0.0355,0.0359,0.0317,0.0352,0.0355,0.0317,0.0352,0.0355,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:00140000016DhdFAAS,"Kohlberg, Kravis Roberts & Co. L.P.",False,NAV_PLUS_CEMO,WITH_CLAIMS,True,895,883,883.0,3967,3374.0,3423.0,0.2256,0.2653,0.2615,0.2226,0.2617,0.258,0.2226,0.2617,0.258,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:00140000013pZGcAAM,Lennox,True,CEMO_BASE,WITH_CLAIMS,True,3108,3056,3056.0,13714,11432.0,10950.0,0.2266,0.2719,0.2838,0.2228,0.2673,0.2791,0.2228,0.2673,0.2791,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000wCknzAAC,Liberty Mutual,True,CEMO_BASE,WITH_CLAIMS,True,13564,13311,13311.0,88455,80343.0,79440.0,0.1533,0.1688,0.1707,0.1505,0.1657,0.1676,0.1505,0.1657,0.1676,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001ZnBemAAF,Lockton (Employer),True,CEMO_BASE,WITH_CLAIMS,True,3023,2957,2957.0,15208,13218.0,13395.0,0.1988,0.2287,0.2257,0.1944,0.2237,0.2208,0.1944,0.2237,0.2208,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0015d000040AsBDAA0,Lockton Insurance - Michigan,True,CEMO_BASE,WITH_CLAIMS,True,907,902,902.0,7515,6567.0,6201.0,0.1207,0.1381,0.1463,0.12,0.1374,0.1455,0.12,0.1374,0.1455,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001SwUjvAAF,"McCain Foods USA, Inc.",True,CEMO_BASE,WITH_CLAIMS,True,1370,1354,1354.0,6592,5694.0,5416.0,0.2078,0.2406,0.253,0.2054,0.2378,0.25,0.2054,0.2378,0.25,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000vp8OIAAY,McDonald's Corporation,False,NAV_PLUS_CEMO,WITH_CLAIMS,True,4427,4321,4321.0,91279,60609.0,58514.0,0.0485,0.073,0.0757,0.0473,0.0713,0.0738,0.0473,0.0713,0.0738,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001lK5a8AAC,NFP (Employer),True,CEMO_BASE,WITH_CLAIMS,True,1818,1691,1691.0,10774,9555.0,8751.0,0.1687,0.1903,0.2077,0.157,0.177,0.1932,0.157,0.177,0.1932,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000vp8OjAAI,News Corporation,False,NAV_PLUS_CEMO,WITH_CLAIMS,True,3820,3803,3803.0,14874,13104.0,12876.0,0.2568,0.2915,0.2967,0.2557,0.2902,0.2954,0.2557,0.2902,0.2954,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001ZOkBJAA1,"Novartis Services, Inc.",True,CEMO_BASE,WITH_CLAIMS,True,12,6,6.0,33948,29751.0,29016.0,0.0004,0.0004,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001ZQzCvAAL,Phillips 66,False,NAV_PLUS_CEMO,WITH_CLAIMS,True,9477,9333,9333.0,39999,36622.0,36276.0,0.2369,0.2588,0.2612,0.2333,0.2548,0.2573,0.2333,0.2548,0.2573,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:001Vo00000PnsCEIAZ,"Prairie States Enterprises, Inc.",True,CEMO_BASE,WITH_CLAIMS,True,107,107,107.0,4004,3910.0,3853.0,0.0267,0.0274,0.0278,0.0267,0.0274,0.0278,0.0267,0.0274,0.0278,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001kNm60AAC,Pregis Holding I Corporation,True,CEMO_BASE,WITH_CLAIMS,True,952,941,941.0,4175,3377.0,3321.0,0.228,0.2819,0.2867,0.2254,0.2786,0.2833,0.2254,0.2786,0.2833,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001afYJKAA2,Primoris Services Corporation,True,CEMO_BASE,WITH_CLAIMS,True,3188,3144,3144.0,22309,15766.0,15516.0,0.1429,0.2022,0.2055,0.1409,0.1994,0.2026,0.1409,0.1994,0.2026,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001Q7YhFAAV,"S. C. Johnson & Son, Inc.",True,CEMO_BASE,WITH_CLAIMS,True,1612,1594,1594.0,8331,7385.0,7526.0,0.1935,0.2183,0.2142,0.1913,0.2158,0.2118,0.1913,0.2158,0.2118,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001a8qdQAAQ,Schwan's,True,CEMO_BASE,WITH_CLAIMS,True,808,7,7.0,11693,9779.0,9450.0,0.0691,0.0826,0.0855,0.0006,0.0007,0.0007,0.0006,0.0007,0.0007,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001qHYhZAAW,Sioux Falls School District,True,CEMO_BASE,WITH_CLAIMS,True,1827,1813,1813.0,8428,6893.0,7704.0,0.2168,0.2651,0.2371,0.2151,0.263,0.2353,0.2151,0.263,0.2353,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000y27DNAAY,Southwest Airlines,True,CEMO_BASE,WITH_CLAIMS,True,39222,38677,38677.0,172761,159950.0,158611.0,0.227,0.2452,0.2473,0.2239,0.2418,0.2438,0.2239,0.2418,0.2438,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000wDkwnAAC,Stanford University,True,CEMO_BASE,WITH_CLAIMS,True,9169,9066,9066.0,44774,41134.0,39772.0,0.2048,0.2229,0.2305,0.2025,0.2204,0.2279,0.2025,0.2204,0.2279,0.20448621785288032,0.2204
